"time","Pressure"
3.226054392E2,1.006810684E3
3.236714682E2,1.006810684E3
3.247374932E2,1.006818466E3
3.258035362E2,1.006828537E3
3.268695652E2,1.006840210E3
3.279355722E2,1.006848373E3
3.290015892E2,1.006857605E3
3.300675862E2,1.006861038E3
3.311335742E2,1.006861420E3
3.321995452E2,1.006861801E3
3.332655232E2,1.006865158E3
3.343314782E2,1.006866913E3
3.353974652E2,1.006869888E3
3.364634412E2,1.006873322E3
3.375294222E2,1.006876221E3
3.385954262E2,1.006876984E3
3.396614622E2,1.006877899E3
3.407274812E2,1.006878204E3
3.417935092E2,1.006880798E3
3.428595892E2,1.006882248E3
3.439256242E2,1.006884537E3
3.449916252E2,1.006888199E3
3.460576082E2,1.006891708E3
3.471236412E2,1.006891708E3
3.481896632E2,1.006894836E3
3.492557572E2,1.006899490E3
3.503217622E2,1.006900558E3
3.513877702E2,1.006901245E3
3.524537922E2,1.006902466E3
3.535197892E2,1.006903152E3
3.545857992E2,1.006903763E3
3.556518092E2,1.006904221E3
3.567178272E2,1.006906662E3
3.577838802E2,1.006907043E3
3.588499362E2,1.006907349E3
3.599160072E2,1.006908188E3
3.609820542E2,1.006908569E3
3.620480732E2,1.006908569E3
3.631141252E2,1.006908569E3
3.641801552E2,1.006908951E3
3.652461962E2,1.006909485E3
3.663122562E2,1.006909485E3
3.673783682E2,1.006908569E3
3.684444542E2,1.006908569E3
3.695105312E2,1.006908569E3
3.705765722E2,1.006909866E3
3.716425652E2,1.006912613E3
3.727085772E2,1.006916199E3
3.737745772E2,1.006920395E3
3.748406242E2,1.006926270E3
3.759066462E2,1.006929245E3
3.769726782E2,1.006930847E3
3.780386902E2,1.006933212E3
3.791046852E2,1.006933212E3
3.801707102E2,1.006931152E3
3.812367492E2,1.006931152E3
3.823027702E2,1.006931381E3
3.833687732E2,1.006933365E3
3.844347482E2,1.006937637E3
3.855007892E2,1.006943130E3
3.865668302E2,1.006949005E3
3.876328202E2,1.006954956E3
3.886987842E2,1.006958847E3
3.897647392E2,1.006961441E3
3.908306692E2,1.006962280E3
3.918966462E2,1.006962280E3
3.929625752E2,1.006962738E3
3.940285232E2,1.006962738E3
3.950944962E2,1.006961899E3
3.961604332E2,1.006961823E3
3.972263912E2,1.006961060E3
3.982923922E2,1.006959152E3
3.993583332E2,1.006958618E3
4.004243052E2,1.006958618E3
4.014902652E2,1.006959305E3
4.025562292E2,1.006960144E3
4.036221852E2,1.006963577E3
4.046881482E2,1.006967163E3
4.057541152E2,1.006969986E3
4.068200802E2,1.006971283E3
4.078860572E2,1.006971893E3
4.089520182E2,1.006971893E3
4.100179702E2,1.006971741E3
4.110839232E2,1.006971741E3
4.121498952E2,1.006973038E3
4.132158702E2,1.006974030E3
4.142818932E2,1.006977158E3
4.153479232E2,1.006978455E3
4.164139662E2,1.006979675E3
4.174799772E2,1.006980972E3
4.185459512E2,1.006982727E3
4.196119302E2,1.006984100E3
4.206779402E2,1.006984787E3
4.217439102E2,1.006987381E3
4.228099022E2,1.006989059E3
4.238759082E2,1.006989059E3
4.249418892E2,1.006984940E3
4.260078392E2,1.006982422E3
4.270738102E2,1.006978683E3
4.281397882E2,1.006974030E3
4.292057962E2,1.006974030E3
4.302718152E2,1.006977463E3
4.313378372E2,1.006982727E3
4.324038392E2,1.006986465E3
4.334698542E2,1.006990738E3
4.345358402E2,1.006994705E3
4.356018302E2,1.006994934E3
4.366678172E2,1.006995087E3
4.377337342E2,1.006996384E3
4.387996382E2,1.006996536E3
4.398655402E2,1.006996765E3
4.409314442E2,1.006999969E3
4.419974192E2,1.007000427E3
4.430633902E2,1.007001648E3
4.441294092E2,1.007003632E3
4.451953652E2,1.007006912E3
4.462613002E2,1.007007370E3
4.473272822E2,1.007010880E3
4.483932302E2,1.007010880E3
4.494591342E2,1.007010880E3
4.505250342E2,1.007011261E3
