"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
2.262385162E2,1.879340112E-1,6.883254647E-1,9.267550707E-1,1.169609379E0
2.264388677E2,-1.362460971E0,2.897123098E-1,-5.854128003E-1,1.510940524E0
2.266392197E2,2.400800437E-1,-3.270169199E-1,-2.811924517E-1,4.936068153E-1
2.268395717E2,-1.832856834E-1,-9.354841113E-1,-4.726834297E-1,1.064027156E0
2.270399247E2,1.532696843E0,-1.152422309E0,-1.423281059E-2,1.917665081E0
2.272402767E2,4.494844675E-1,3.942028061E-2,4.234130085E-1,6.187639459E-1
2.274406290E2,5.308802128E-1,8.629129827E-2,-2.254886739E-2,5.383200163E-1
2.276409810E2,-1.367827654E-1,5.803558230E-1,2.523633540E-1,6.474640289E-1
2.278413330E2,-6.403040290E-1,5.822985992E-2,-2.589427233E-1,6.931315171E-1
2.280416850E2,7.295326144E-2,3.003923297E-1,3.631199300E-1,4.768792443E-1
2.282420370E2,-6.289069355E-2,-1.381398290E-1,3.445957899E-1,3.765423085E-1
2.284423895E2,2.399574071E-1,-3.596524894E-1,1.899140477E-1,4.722253868E-1
2.286427415E2,-6.451058388E-1,8.396071941E-2,-8.560324907E-1,1.075175600E0
2.288430935E2,-3.959396854E-2,-9.020408988E-2,-2.219822407E-1,2.428591677E-1
2.290434445E2,4.142767787E-1,-4.882714748E-1,-2.417425662E-1,6.844514233E-1
2.292437965E2,6.954261065E-1,6.180506945E-1,5.356591940E-1,1.073561783E0
2.294441482E2,1.364574730E-1,5.747197866E-1,7.445944548E-1,9.504443051E-1
2.296445002E2,1.368377686E0,8.657005429E-1,-3.697330952E-1,1.660902611E0
2.298448512E2,-8.519873023E-1,-9.240353853E-2,-2.060257792E-1,8.814008163E-1
2.300452032E2,2.704255581E-1,-5.302554369E-1,4.332414269E-2,5.968063272E-1
2.302455552E2,-9.281632304E-1,1.094377264E-1,2.471123934E-1,9.667099530E-1
2.304459065E2,-1.415548325E0,8.295092583E-1,8.399229646E-1,1.843185627E0
2.306462585E2,-2.822417319E-1,-6.811771989E-1,-8.439195752E-1,1.120652944E0
2.308466095E2,8.032639623E-1,8.696575165E-1,3.778730929E-1,1.242708841E0
2.310469615E2,-5.218137503E-1,1.874549389E-1,-4.614101052E-1,7.213378053E-1
2.312473125E2,2.291841954E-1,1.826935261E-1,3.961229324E-2,2.957557332E-1
2.314476646E2,3.841634393E-1,3.441700935E-1,7.614507079E-1,9.196965706E-1
2.316480156E2,-2.387931198E-1,6.758813858E-1,7.330485582E-1,1.025279469E0
2.318483666E2,-1.295943379E0,-4.110572934E-1,-1.156567454E0,1.784960957E0
2.320487186E2,1.272342205E-1,-5.121812224E-1,-6.960982084E-1,8.735392763E-1
2.322490696E2,-4.773845375E-1,-1.405559629E-1,-7.025851011E-1,8.609749123E-1
2.324494201E2,1.424108982E0,-1.446879029E0,5.052098632E-1,2.092076080E0
2.326497711E2,3.826102912E-1,3.380529284E-1,8.609245420E-1,1.000930309E0
2.328501221E2,-1.286962181E-1,3.042569160E-1,-4.800840616E-1,5.827655564E-1
2.330504741E2,5.251123905E-1,-3.904589713E-1,1.341831684E-1,6.679867915E-1
2.332508251E2,-2.723865509E-1,-7.711293101E-1,-5.547312498E-1,9.882113163E-1
2.334511762E2,-2.147881091E-1,6.796407104E-1,9.821444750E-1,1.213529232E0
2.336515272E2,6.991973519E-1,4.301382303E-1,6.505146027E-1,1.047408747E0
2.338518782E2,-3.362992108E-1,-7.055602074E-1,4.912210107E-1,9.231524504E-1
2.340522292E2,4.614073634E-1,6.861256957E-1,-4.023878276E-1,9.195548864E-1
2.342525802E2,9.936179966E-3,4.672200382E-1,-7.861382514E-2,4.738917864E-1
2.344529304E2,-2.111182213E-1,5.830410123E-1,-5.298740268E-1,8.156434329E-1
2.346532814E2,2.198404968E-1,3.647363782E-1,5.209109187E-1,6.728377626E-1
2.348536324E2,1.034406349E-1,5.522618294E-1,6.669794917E-1,8.720978933E-1
2.350539834E2,-1.285895348E0,7.661581635E-1,-8.273569345E-1,1.710276198E0
2.352543344E2,8.851400018E-2,-2.893811762E-1,-9.949453473E-1,1.039948286E0
2.354546840E2,3.941460550E-1,-9.919790179E-2,-4.607565999E-1,6.144005052E-1
2.356550350E2,2.077606767E-1,-9.031282067E-1,1.959740072E-1,9.472121558E-1
2.358553860E2,3.827137351E-1,1.070157647E0,8.823816180E-1,1.438855279E0
2.360557360E2,9.134492278E-1,-5.827160478E-1,-5.434921384E-1,1.212159721E0
2.362560870E2,-4.237273335E-1,2.998882532E-1,8.693424612E-2,5.263415058E-1
2.364564372E2,-6.497159004E-1,-9.552272558E-1,-9.757007360E-1,1.512144764E0
2.366567882E2,5.838100333E-3,1.042691767E-1,1.015049338E0,1.020407421E0
2.368571382E2,9.187687039E-1,1.823885739E-1,7.664364576E-1,1.210300114E0
2.370574892E2,2.294228598E-2,-9.493605494E-1,-8.839334548E-2,9.537427247E-1
2.372578392E2,-1.905060858E-1,6.387941837E-1,-4.330371320E-1,7.949036014E-1
2.374581891E2,-5.331843346E-2,2.191845775E-1,-3.996148705E-1,4.588864556E-1
2.376585401E2,-1.568268389E-1,4.213375598E-2,-2.083304524E-1,2.641429314E-1
2.378588901E2,2.836522758E-1,4.371088147E-1,6.157118678E-1,8.066125672E-1
2.380592401E2,-1.469568163E-2,3.961611390E-1,7.933042049E-1,8.868433755E-1
2.382595901E2,-2.300909907E-1,5.494594574E-1,-3.386048377E-1,6.852012809E-1
2.384599401E2,-2.684639990E-1,1.047357246E-1,-3.089972213E-2,2.898228487E-1
2.386602911E2,1.701491475E-1,-8.805695176E-1,-6.359313726E-1,1.099437183E0
2.388606411E2,5.058422089E-1,-4.900594652E-1,-1.708093435E-1,7.247140481E-1
2.390609911E2,3.709033430E-1,-5.344844609E-2,2.962904274E-1,4.777175354E-1
2.392613411E2,1.533885717E0,-1.136102557E0,-8.571023345E-1,2.092405034E0
2.394616909E2,-3.757125437E-1,7.942680120E-1,4.107079208E-1,9.698982352E-1
2.396620409E2,-4.625891447E-1,-3.574899733E-1,-1.189065456E0,1.325014889E0
2.398623899E2,2.823914587E-1,5.808781385E-1,1.244045496E0,1.401718069E0
2.400627399E2,1.713211238E-1,-5.154120326E-1,7.156911492E-1,8.984510626E-1
2.402630899E2,1.341018528E-1,1.469073445E-1,2.807756066E-1,3.440930340E-1
2.404634403E2,-2.776618600E-1,-2.323119044E-1,-7.046937346E-1,7.922488177E-1
2.406637903E2,5.233812928E-1,-6.317148805E-1,-1.734873354E-1,8.385043372E-1
2.408641393E2,9.729697108E-1,-4.637271762E-1,-5.654622316E-1,1.217152615E0
2.410644893E2,-2.527060509E-1,3.502300680E-1,3.409626782E-1,5.502517575E-1
2.412648393E2,-6.910918653E-2,7.251514792E-1,2.466294765E-1,7.690558148E-1
2.414651878E2,-5.039503574E-1,1.085960269E-1,-4.080924988E-1,6.574941425E-1
2.416655378E2,1.558109969E-1,-7.726284266E-1,-3.158519566E-1,8.491137796E-1
2.418658878E2,-4.760666192E-1,-3.920476735E-1,-5.041262507E-1,7.965450903E-1
2.420662368E2,5.225849152E-1,-6.997218132E-1,5.184202194E-1,1.015610719E0
2.422665875E2,-1.002839729E-1,4.736189842E-1,2.419995964E-1,5.412352742E-1
